"Name","Child Poverty by Race/Ethnicity"
"Description","Children under 18 years in households with incomes below the Federal Poverty Level (FPL) by race and ethnicity. Racial/ethnic groups are defined as follows: White = non-Latino White alone, Black = non-Latino Black alone, Asian = non-Latino Asian or Pacific Islander alone, Latino = Latino of any race. Due to small sample sizes in smaller geographies, data are presented in 3-year averages; 2019 = 2017-2019 3-year average."
Williamsbridge,Latino,2010,Number,4341,212
Williamsbridge,White,2010,Number,72,212
Williamsburg/Greenpoint,Asian,2010,Number,339,301
Williamsburg/Greenpoint,Black,2010,Number,833,301
Williamsburg/Greenpoint,Latino,2010,Number,2504,301
Williamsburg/Greenpoint,White,2010,Number,13045,301
Fort Greene/Brooklyn Hts,Asian,2010,Number,256,302
Fort Greene/Brooklyn Hts,Black,2010,Number,2283,302
Fort Greene/Brooklyn Hts,Latino,2010,Number,2041,302
Fort Greene/Brooklyn Hts,White,2010,Number,541,302
Bedford Stuyvesant,Asian,2010,Number,352,303
Bedford Stuyvesant,Black,2010,Number,8311,303
Bedford Stuyvesant,Latino,2010,Number,3868,303
Bedford Stuyvesant,White,2010,Number,4890,303
Bushwick,Asian,2010,Number,195,304
Bushwick,Black,2010,Number,3281,304
Bushwick,Latino,2010,Number,9680,304
Bushwick,White,2010,Number,197,304
East New York,Asian,2010,Number,624,305
East New York,Black,2010,Number,8917,305
East New York,Latino,2010,Number,8708,305
East New York,White,2010,Number,244,305
Park Slope,Asian,2010,Number,61,306
Park Slope,Black,2010,Number,595,306
Park Slope,Latino,2010,Number,1016,306
Park Slope,White,2010,Number,620,306
Sunset Park,Asian,2010,Number,4031,307
Sunset Park,Black,2010,Number,97,307
Sunset Park,Latino,2010,Number,5830,307
Sunset Park,White,2010,Number,1099,307
Crown Heights North,Asian,2010,Number,118,308
Crown Heights North,Black,2010,Number,6428,308
Crown Heights North,Latino,2010,Number,1656,308
Crown Heights North,White,2010,Number,1090,308
Crown Heights South,Asian,2010,Number,174,309
Crown Heights South,Black,2010,Number,4697,309
Crown Heights South,Latino,2010,Number,891,309
Crown Heights South,White,2010,Number,1830,309
Bay Ridge,Asian,2010,Number,1234,310
Bay Ridge,Black,2010,Number,0,310
Bay Ridge,Latino,2010,Number,1718,310
Bay Ridge,White,2010,Number,1926,310
Bensonhurst,Asian,2010,Number,3271,311
Bensonhurst,Black,2010,Number,33,311
Bensonhurst,Latino,2010,Number,1253,311
Bensonhurst,White,2010,Number,2341,311
Borough Park,Asian,2010,Number,2690,312
Borough Park,Black,2010,Number,59,312
Borough Park,Latino,2010,Number,1714,312
Borough Park,White,2010,Number,17329,312
Coney Island,Asian,2010,Number,850,313
Coney Island,Black,2010,Number,1020,313
Coney Island,Latino,2010,Number,2213,313
Coney Island,White,2010,Number,395,313
Flatbush/Midwood,Asian,2010,Number,1017,314
Flatbush/Midwood,Black,2010,Number,4840,314
Flatbush/Midwood,Latino,2010,Number,1840,314
Flatbush/Midwood,White,2010,Number,4332,314
Sheepshead Bay,Asian,2010,Number,1190,315
Sheepshead Bay,Black,2010,Number,154,315
Sheepshead Bay,Latino,2010,Number,687,315
Sheepshead Bay,White,2010,Number,1659,315
Brownsville,Asian,2010,Number,0,316
Brownsville,Black,2010,Number,10335,316
Brownsville,Latino,2010,Number,5963,316
Brownsville,White,2010,Number,0,316
East Flatbush,Asian,2010,Number,0,317
East Flatbush,Black,2010,Number,5194,317
East Flatbush,Latino,2010,Number,299,317
East Flatbush,White,2010,Number,0,317
Canarsie,Asian,2010,Number,354,318
Canarsie,Black,2010,Number,3606,318
Canarsie,Latino,2010,Number,1421,318
Canarsie,White,2010,Number,1468,318
Astoria,Asian,2010,Number,1403,401
Astoria,Black,2010,Number,1118,401
Astoria,Latino,2010,Number,2300,401
Astoria,White,2010,Number,1919,401
Sunnyside/Woodside,Asian,2010,Number,1753,402
Sunnyside/Woodside,Black,2010,Number,25,402
Sunnyside/Woodside,Latino,2010,Number,1191,402
Sunnyside/Woodside,White,2010,Number,210,402
Jackson Heights,Asian,2010,Number,1523,403
Jackson Heights,Black,2010,Number,702,403
Jackson Heights,Latino,2010,Number,7680,403
Jackson Heights,White,2010,Number,435,403
Elmhurst/Corona,Asian,2010,Number,3031,404
Elmhurst/Corona,Black,2010,Number,105,404
Elmhurst/Corona,Latino,2010,Number,4658,404
Elmhurst/Corona,White,2010,Number,211,404
Ridgewood/Glendale,Asian,2010,Number,699,405
Ridgewood/Glendale,Black,2010,Number,233,405
Ridgewood/Glendale,Latino,2010,Number,5346,405
Ridgewood/Glendale,White,2010,Number,1767,405
Rego Park/Forest Hills,Asian,2010,Number,446,406
Rego Park/Forest Hills,Black,2010,Number,22,406
Rego Park/Forest Hills,Latino,2010,Number,587,406
Rego Park/Forest Hills,White,2010,Number,688,406
Flushing,Asian,2010,Number,3161,407
Flushing,Black,2010,Number,227,407
Flushing,Latino,2010,Number,1600,407
Flushing,White,2010,Number,500,407
Fresh Meadows/Briarwood,Asian,2010,Number,918,408
Fresh Meadows/Briarwood,Black,2010,Number,541,408
Fresh Meadows/Briarwood,Latino,2010,Number,1221,408
Fresh Meadows/Briarwood,White,2010,Number,865,408
Woodhaven,Asian,2010,Number,1726,409
Woodhaven,Black,2010,Number,331,409
Woodhaven,Latino,2010,Number,3077,409
Woodhaven,White,2010,Number,589,409
Howard Beach,Asian,2010,Number,911,410
Howard Beach,Black,2010,Number,770,410
Howard Beach,Latino,2010,Number,904,410
Howard Beach,White,2010,Number,871,410
Bayside,Asian,2010,Number,1087,411
Bayside,Black,2010,Number,79,411
Bayside,Latino,2010,Number,35,411
Bayside,White,2010,Number,723,411
Jamaica/St. Albans,Asian,2010,Number,1485,412
Jamaica/St. Albans,Black,2010,Number,6341,412
Jamaica/St. Albans,Latino,2010,Number,3776,412
Jamaica/St. Albans,White,2010,Number,173,412
Queens Village,Asian,2010,Number,485,413
Queens Village,Black,2010,Number,2360,413
Queens Village,Latino,2010,Number,451,413
Queens Village,White,2010,Number,38,413
The Rockaways,Asian,2010,Number,0,414
The Rockaways,Black,2010,Number,4664,414
The Rockaways,Latino,2010,Number,3400,414
The Rockaways,White,2010,Number,830,414
St. George,Asian,2010,Number,394,501
St. George,Black,2010,Number,4331,501
St. George,Latino,2010,Number,5553,501
St. George,White,2010,Number,1775,501
South Beach,Asian,2010,Number,536,502
South Beach,Black,2010,Number,533,502
South Beach,Latino,2010,Number,1418,502
South Beach,White,2010,Number,1021,502
Tottenville,Asian,2010,Number,439,503
Tottenville,Black,2010,Number,0,503
Tottenville,Latino,2010,Number,233,503
Tottenville,White,2010,Number,1381,503
Bronx,Asian,2010,Number,3800,36005
Bronx,Black,2010,Number,37369,36005
Bronx,Latino,2010,Number,102513,36005
Bronx,White,2010,Number,3251,36005
Brooklyn,Asian,2010,Number,16756,36047
Brooklyn,Black,2010,Number,60683,36047
Brooklyn,Latino,2010,Number,53302,36047
Brooklyn,White,2010,Number,53006,36047
Manhattan,Asian,2010,Number,5588,36061
Manhattan,Black,2010,Number,11275,36061
Manhattan,Latino,2010,Number,33547,36061
Manhattan,White,2010,Number,3302,36061
Queens,Asian,2010,Number,18628,36081
Queens,Black,2010,Number,17518,36081
Queens,Latino,2010,Number,36226,36081
Queens,White,2010,Number,9819,36081
Staten Island,Asian,2010,Number,1369,36085
Staten Island,Black,2010,Number,4864,36085
Staten Island,Latino,2010,Number,7204,36085
Staten Island,White,2010,Number,4177,36085
New York City,Asian,2010,Number,46141,3651000
New York City,Black,2010,Number,131709,3651000
New York City,Latino,2010,Number,232792,3651000
New York City,White,2010,Number,73555,3651000
Battery Park/Tribeca,Asian,2010,Percent,0.22126,101
Battery Park/Tribeca,Black,2010,Percent,0,101
Battery Park/Tribeca,Latino,2010,Percent,0.15861,101
Battery Park/Tribeca,White,2010,Percent,0.04818,101
Greenwich Village,Asian,2010,Percent,0.22126,102
Greenwich Village,Black,2010,Percent,0,102
Greenwich Village,Latino,2010,Percent,0.15861,102
Greenwich Village,White,2010,Percent,0.04818,102
Lower East Side,Asian,2010,Percent,0.37777,103
Lower East Side,Black,2010,Percent,0.35524,103
Lower East Side,Latino,2010,Percent,0.36815,103
Lower East Side,White,2010,Percent,0.0872,103
Chelsea/Clinton,Asian,2010,Percent,0.16405,104
Chelsea/Clinton,Black,2010,Percent,0.25931,104
Chelsea/Clinton,Latino,2010,Percent,0.32415,104
Chelsea/Clinton,White,2010,Percent,0.03814,104
Midtown Business District,Asian,2010,Percent,0.16405,105
Midtown Business District,Black,2010,Percent,0.25931,105
Midtown Business District,Latino,2010,Percent,0.32415,105
Midtown Business District,White,2010,Percent,0.03814,105
Murray Hill/Stuyvesant,Asian,2010,Percent,0.15419,106
Murray Hill/Stuyvesant,Black,2010,Percent,0.05711,106
Murray Hill/Stuyvesant,Latino,2010,Percent,0.16667,106
Murray Hill/Stuyvesant,White,2010,Percent,0.00675,106
Upper West Side,Asian,2010,Percent,0.3808,107
Upper West Side,Black,2010,Percent,0.33505,107
Upper West Side,Latino,2010,Percent,0.24043,107
Upper West Side,White,2010,Percent,0.01576,107
Upper East Side,Asian,2010,Percent,0.02404,108
Upper East Side,Black,2010,Percent,0.23612,108
Upper East Side,Latino,2010,Percent,0.12355,108
Upper East Side,White,2010,Percent,0.0281,108
Manhattanville,Asian,2010,Percent,0,109
Manhattanville,Black,2010,Percent,0.30347,109
Manhattanville,Latino,2010,Percent,0.45707,109
Manhattanville,White,2010,Percent,0.15645,109
Central Harlem,Asian,2010,Percent,0.43939,110
Central Harlem,Black,2010,Percent,0.29769,110
Central Harlem,Latino,2010,Percent,0.51891,110
Central Harlem,White,2010,Percent,0.065,110
East Harlem,Asian,2010,Percent,0.45833,111
East Harlem,Black,2010,Percent,0.31482,111
East Harlem,Latino,2010,Percent,0.45735,111
East Harlem,White,2010,Percent,0.22576,111
Washington Heights,Asian,2010,Percent,0,112
Washington Heights,Black,2010,Percent,0.11126,112
Washington Heights,Latino,2010,Percent,0.32682,112
Washington Heights,White,2010,Percent,0.13679,112
Mott Haven,Asian,2010,Percent,0.50315,201
Mott Haven,Black,2010,Percent,0.56182,201
Mott Haven,Latino,2010,Percent,0.49756,201
Mott Haven,White,2010,Percent,0.46488,201
Hunts Point,Asian,2010,Percent,0.50315,202
Hunts Point,Black,2010,Percent,0.56182,202
Hunts Point,Latino,2010,Percent,0.49756,202
Hunts Point,White,2010,Percent,0.46488,202
Morrisania,Asian,2010,Percent,0,203
Morrisania,Black,2010,Percent,0.4139,203
Morrisania,Latino,2010,Percent,0.5976,203
Morrisania,White,2010,Percent,0.3048,203
Concourse/Highbridge,Asian,2010,Percent,0.47122,204
Concourse/Highbridge,Black,2010,Percent,0.35825,204
Concourse/Highbridge,Latino,2010,Percent,0.53802,204
Concourse/Highbridge,White,2010,Percent,0.51393,204
University Heights,Asian,2010,Percent,0.07718,205
University Heights,Black,2010,Percent,0.49597,205
University Heights,Latino,2010,Percent,0.51435,205
University Heights,White,2010,Percent,0.28571,205
East Tremont,Asian,2010,Percent,0,206
East Tremont,Black,2010,Percent,0.4139,206
East Tremont,Latino,2010,Percent,0.5976,206
East Tremont,White,2010,Percent,0.3048,206
Bedford Park,Asian,2010,Percent,0.48732,207
Bedford Park,Black,2010,Percent,0.44837,207
Bedford Park,Latino,2010,Percent,0.40111,207
Bedford Park,White,2010,Percent,0.47583,207
Riverdale,Asian,2010,Percent,0.07353,208
Riverdale,Black,2010,Percent,0.27732,208
Riverdale,Latino,2010,Percent,0.37727,208
Riverdale,White,2010,Percent,0.06135,208
Unionport/Soundview,Asian,2010,Percent,0.45291,209
Unionport/Soundview,Black,2010,Percent,0.21826,209
Unionport/Soundview,Latino,2010,Percent,0.36869,209
Unionport/Soundview,White,2010,Percent,0,209
Throgs Neck,Asian,2010,Percent,0.3004,210
Throgs Neck,Black,2010,Percent,0.18446,210
Throgs Neck,Latino,2010,Percent,0.33616,210
Throgs Neck,White,2010,Percent,0.13488,210
Pelham Parkway,Asian,2010,Percent,0.29723,211
Pelham Parkway,Black,2010,Percent,0.19989,211
Pelham Parkway,Latino,2010,Percent,0.35652,211
Pelham Parkway,White,2010,Percent,0.10539,211
Williamsbridge,Asian,2010,Percent,0.42968,212
Williamsbridge,Black,2010,Percent,0.22058,212
Williamsbridge,Latino,2010,Percent,0.42326,212
Williamsbridge,White,2010,Percent,0.04952,212
Williamsburg/Greenpoint,Asian,2010,Percent,0.35911,301
Williamsburg/Greenpoint,Black,2010,Percent,0.61933,301
Williamsburg/Greenpoint,Latino,2010,Percent,0.28726,301
Williamsburg/Greenpoint,White,2010,Percent,0.57087,301
Fort Greene/Brooklyn Hts,Asian,2010,Percent,0.30549,302
Fort Greene/Brooklyn Hts,Black,2010,Percent,0.37086,302
Fort Greene/Brooklyn Hts,Latino,2010,Percent,0.49228,302
Fort Greene/Brooklyn Hts,White,2010,Percent,0.07759,302
Bedford Stuyvesant,Asian,2010,Percent,0.31095,303
Bedford Stuyvesant,Black,2010,Percent,0.43047,303
Bedford Stuyvesant,Latino,2010,Percent,0.47718,303
Bedford Stuyvesant,White,2010,Percent,0.56768,303
Bushwick,Asian,2010,Percent,0.29279,304
Bushwick,Black,2010,Percent,0.46979,304
Bushwick,Latino,2010,Percent,0.37962,304
Bushwick,White,2010,Percent,0.23995,304
East New York,Asian,2010,Percent,0.42857,305
East New York,Black,2010,Percent,0.40154,305
East New York,Latino,2010,Percent,0.48169,305
East New York,White,2010,Percent,0.29362,305
Park Slope,Asian,2010,Percent,0.05922,306
Park Slope,Black,2010,Percent,0.28415,306
Park Slope,Latino,2010,Percent,0.19026,306
Park Slope,White,2010,Percent,0.04923,306
Sunset Park,Asian,2010,Percent,0.36911,307
Sunset Park,Black,2010,Percent,0.14832,307
Sunset Park,Latino,2010,Percent,0.36657,307
Sunset Park,White,2010,Percent,0.20382,307
Crown Heights North,Asian,2010,Percent,0.2479,308
Crown Heights North,Black,2010,Percent,0.35087,308
Crown Heights North,Latino,2010,Percent,0.46793,308
Crown Heights North,White,2010,Percent,0.33809,308
Crown Heights South,Asian,2010,Percent,0.63273,309
Crown Heights South,Black,2010,Percent,0.28008,309
Crown Heights South,Latino,2010,Percent,0.39991,309
Crown Heights South,White,2010,Percent,0.3087,309
Bay Ridge,Asian,2010,Percent,0.18481,310
Bay Ridge,Black,2010,Percent,0,310
Bay Ridge,Latino,2010,Percent,0.33353,310
Bay Ridge,White,2010,Percent,0.15345,310
Bensonhurst,Asian,2010,Percent,0.22247,311
Bensonhurst,Black,2010,Percent,0.264,311
Bensonhurst,Latino,2010,Percent,0.20869,311
Bensonhurst,White,2010,Percent,0.20339,311
Borough Park,Asian,2010,Percent,0.4255,312
Borough Park,Black,2010,Percent,0.08926,312
Borough Park,Latino,2010,Percent,0.38612,312
Borough Park,White,2010,Percent,0.39834,312
Coney Island,Asian,2010,Percent,0.24898,313
Coney Island,Black,2010,Percent,0.30779,313
Coney Island,Latino,2010,Percent,0.47745,313
Coney Island,White,2010,Percent,0.06219,313
Flatbush/Midwood,Asian,2010,Percent,0.30587,314
Flatbush/Midwood,Black,2010,Percent,0.36789,314
Flatbush/Midwood,Latino,2010,Percent,0.30194,314
Flatbush/Midwood,White,2010,Percent,0.25524,314
Sheepshead Bay,Asian,2010,Percent,0.27515,315
Sheepshead Bay,Black,2010,Percent,0.14339,315
Sheepshead Bay,Latino,2010,Percent,0.24207,315
Sheepshead Bay,White,2010,Percent,0.09114,315
Brownsville,Asian,2010,Percent,0,316
Brownsville,Black,2010,Percent,0.39513,316
Brownsville,Latino,2010,Percent,0.64049,316
Brownsville,White,2010,Percent,0,316
East Flatbush,Asian,2010,Percent,0,317
East Flatbush,Black,2010,Percent,0.18376,317
East Flatbush,Latino,2010,Percent,0.12894,317
East Flatbush,White,2010,Percent,0,317
Canarsie,Asian,2010,Percent,0.25858,318
Canarsie,Black,2010,Percent,0.11743,318
Canarsie,Latino,2010,Percent,0.32878,318
Canarsie,White,2010,Percent,0.12288,318
Astoria,Asian,2010,Percent,0.38961,401
Astoria,Black,2010,Percent,0.49755,401
Astoria,Latino,2010,Percent,0.21588,401
Astoria,White,2010,Percent,0.23018,401
Sunnyside/Woodside,Asian,2010,Percent,0.20765,402
Sunnyside/Woodside,Black,2010,Percent,0.16234,402
Sunnyside/Woodside,Latino,2010,Percent,0.13496,402
Sunnyside/Woodside,White,2010,Percent,0.06202,402
Jackson Heights,Asian,2010,Percent,0.26705,403
Jackson Heights,Black,2010,Percent,0.38235,403
Jackson Heights,Latino,2010,Percent,0.2806,403
Jackson Heights,White,2010,Percent,0.17066,403
Elmhurst/Corona,Asian,2010,Percent,0.31609,404
Elmhurst/Corona,Black,2010,Percent,0.0463,404
Elmhurst/Corona,Latino,2010,Percent,0.27292,404
Elmhurst/Corona,White,2010,Percent,0.20328,404
Ridgewood/Glendale,Asian,2010,Percent,0.22454,405
Ridgewood/Glendale,Black,2010,Percent,0.59439,405
Ridgewood/Glendale,Latino,2010,Percent,0.2918,405
Ridgewood/Glendale,White,2010,Percent,0.12358,405
Rego Park/Forest Hills,Asian,2010,Percent,0.07966,406
Rego Park/Forest Hills,Black,2010,Percent,0.20561,406
Rego Park/Forest Hills,Latino,2010,Percent,0.19164,406
Rego Park/Forest Hills,White,2010,Percent,0.07162,406
Flushing,Asian,2010,Percent,0.16327,407
Flushing,Black,2010,Percent,0.27751,407
Flushing,Latino,2010,Percent,0.15471,407
Flushing,White,2010,Percent,0.04296,407
Fresh Meadows/Briarwood,Asian,2010,Percent,0.10362,408
Fresh Meadows/Briarwood,Black,2010,Percent,0.14717,408
Fresh Meadows/Briarwood,Latino,2010,Percent,0.19081,408
Fresh Meadows/Briarwood,White,2010,Percent,0.09255,408
Woodhaven,Asian,2010,Percent,0.20194,409
Woodhaven,Black,2010,Percent,0.11984,409
Woodhaven,Latino,2010,Percent,0.18446,409
Woodhaven,White,2010,Percent,0.18854,409
Howard Beach,Asian,2010,Percent,0.14442,410
Howard Beach,Black,2010,Percent,0.17168,410
Howard Beach,Latino,2010,Percent,0.11426,410
Howard Beach,White,2010,Percent,0.19529,410
Bayside,Asian,2010,Percent,0.10613,411
Bayside,Black,2010,Percent,0.13101,411
Bayside,Latino,2010,Percent,0.01044,411
Bayside,White,2010,Percent,0.07754,411
Jamaica/St. Albans,Asian,2010,Percent,0.25025,412
Jamaica/St. Albans,Black,2010,Percent,0.19076,412
Jamaica/St. Albans,Latino,2010,Percent,0.37129,412
Jamaica/St. Albans,White,2010,Percent,0.4061,412
Queens Village,Asian,2010,Percent,0.07137,413
Queens Village,Black,2010,Percent,0.08832,413
Queens Village,Latino,2010,Percent,0.08831,413
Queens Village,White,2010,Percent,0.01129,413
The Rockaways,Asian,2010,Percent,0,414
The Rockaways,Black,2010,Percent,0.36998,414
The Rockaways,Latino,2010,Percent,0.44208,414
The Rockaways,White,2010,Percent,0.0905,414
St. George,Asian,2010,Percent,0.12863,501
St. George,Black,2010,Percent,0.3917,501
St. George,Latino,2010,Percent,0.37249,501
St. George,White,2010,Percent,0.13657,501
South Beach,Asian,2010,Percent,0.15039,502
South Beach,Black,2010,Percent,0.35965,502
South Beach,Latino,2010,Percent,0.25637,502
South Beach,White,2010,Percent,0.05501,502
Tottenville,Asian,2010,Percent,0.26462,503
Tottenville,Black,2010,Percent,0,503
Tottenville,Latino,2010,Percent,0.04292,503
Tottenville,White,2010,Percent,0.04893,503
Bronx,Asian,2010,Percent,0.36091,36005
Bronx,Black,2010,Percent,0.34028,36005
Bronx,Latino,2010,Percent,0.46459,36005
Bronx,White,2010,Percent,0.15221,36005
Brooklyn,Asian,2010,Percent,0.28738,36047
Brooklyn,Black,2010,Percent,0.30732,36047
Brooklyn,Latino,2010,Percent,0.39001,36047
Brooklyn,White,2010,Percent,0.28099,36047
Manhattan,Asian,2010,Percent,0.29675,36061
Manhattan,Black,2010,Percent,0.28682,36061
Manhattan,Latino,2010,Percent,0.37061,36061
Manhattan,White,2010,Percent,0.043,36061
Queens,Asian,2010,Percent,0.18219,36081
Queens,Black,2010,Percent,0.19059,36081
Queens,Latino,2010,Percent,0.23684,36081
Queens,White,2010,Percent,0.10901,36081
Staten Island,Asian,2010,Percent,0.16522,36085
Staten Island,Black,2010,Percent,0.38442,36085
Staten Island,Latino,2010,Percent,0.27849,36085
Staten Island,White,2010,Percent,0.06987,36085
New York City,Asian,2010,Percent,0.23281,3651000
New York City,Black,2010,Percent,0.29194,3651000
New York City,Latino,2010,Percent,0.37148,3651000
New York City,White,2010,Percent,0.16845,3651000
Battery Park/Tribeca,Asian,2011,Number,149.42223,101
Battery Park/Tribeca,Black,2011,Number,0,101
Battery Park/Tribeca,Latino,2011,Number,37.96132,101
Battery Park/Tribeca,White,2011,Number,151.84529,101
Greenwich Village,Asian,2011,Number,220.57777,102
Greenwich Village,Black,2011,Number,0,102
Greenwich Village,Latino,2011,Number,56.03868,102
