"Name","Child Poverty by Household Type"
"Description","Children in single parent households are defined as the
biological, adopted, or step children of household
heads in family households where no spouse is present.&nbsp;Other households are those for whom the child's relationship to householder is defined as other relative, foster or unrelated child.&nbsp;Due to small sample sizes in smaller geographies, data are presented in 3-year averages; 2019 = 2017-2019 3-year average.&nbsp;"
"Source Notes","CCC analysis of U.S. Census Bureau, American Community Survey 1-Year Estimates, Public Use Microdata Sample Files (2012 - 2019)."
"Notes","The Federal Poverty Level (FPL) is an income threshold calculated by the U.S. Census Bureau each year for the purpose of estimating the number of individuals and households living in poverty. The income threshold varies based on the number of children and adults in a household and the age of the head of household. In 2019, the FPL for a household consisting of two adults and two children was $25,750. The Census Bureau excludes institutionalized individuals, individuals living in military group quarters or college dorms, and unrelated individuals under 15 years of age from poverty estimates. Percents refer to the percent of the children in the selected household type for whom poverty status was determined.&nbsp;"

Location,Household Type,TimeFrame,DataFormat,Data,Fips
Hunts Point,Married Couples,2019,Percent,0.382,202
Morrisania,Married Couples,2019,Percent,0.198,203
Concourse/Highbridge,Married Couples,2019,Percent,0.301,204
University Heights,Married Couples,2019,Percent,0.292,205
East Tremont,Married Couples,2019,Percent,0.198,206
Bedford Park,Married Couples,2019,Percent,0.392,207
Riverdale,Married Couples,2019,Percent,0.112,208
Unionport/Soundview,Married Couples,2019,Percent,0.159,209
Throgs Neck,Married Couples,2019,Percent,0.033,210
Pelham Parkway,Married Couples,2019,Percent,0.094,211
Williamsbridge,Married Couples,2019,Percent,0.053,212
Williamsburg/Greenpoint,Married Couples,2019,Percent,0.349,301
Fort Greene/Brooklyn Hts,Married Couples,2019,Percent,0.058,302
Bedford Stuyvesant,Married Couples,2019,Percent,0.289,303
Bushwick,Married Couples,2019,Percent,0.296,304
East New York,Married Couples,2019,Percent,0.16,305
Park Slope,Married Couples,2019,Percent,0.028,306
Sunset Park,Married Couples,2019,Percent,0.174,307
Crown Heights North,Married Couples,2019,Percent,0.096,308
Crown Heights South,Married Couples,2019,Percent,0.267,309
Bay Ridge,Married Couples,2019,Percent,0.149,310
Bensonhurst,Married Couples,2019,Percent,0.232,311
Borough Park,Married Couples,2019,Percent,0.393,312
Coney Island,Married Couples,2019,Percent,0.242,313
Flatbush/Midwood,Married Couples,2019,Percent,0.144,314
Sheepshead Bay,Married Couples,2019,Percent,0.159,315
Brownsville,Married Couples,2019,Percent,0.148,316
East Flatbush,Married Couples,2019,Percent,0.049,317
Canarsie,Married Couples,2019,Percent,0.04,318
Astoria,Married Couples,2019,Percent,0.139,401
Sunnyside/Woodside,Married Couples,2019,Percent,0.08,402
Jackson Heights,Married Couples,2019,Percent,0.128,403
Elmhurst/Corona,Married Couples,2019,Percent,0.152,404
Ridgewood/Glendale,Married Couples,2019,Percent,0.075,405
Rego Park/Forest Hills,Married Couples,2019,Percent,0.069,406
Flushing,Married Couples,2019,Percent,0.116,407
Fresh Meadows/Briarwood,Married Couples,2019,Percent,0.138,408
Woodhaven,Married Couples,2019,Percent,0.123,409
Howard Beach,Married Couples,2019,Percent,0.054,410
Bayside,Married Couples,2019,Percent,0.048,411
Jamaica/St. Albans,Married Couples,2019,Percent,0.088,412
Queens Village,Married Couples,2019,Percent,0.026,413
The Rockaways,Married Couples,2019,Percent,0.115,414
St. George,Married Couples,2019,Percent,0.132,501
South Beach,Married Couples,2019,Percent,0.161,502
Tottenville,Married Couples,2019,Percent,0.108,503
Bronx,Married Couples,2019,Percent,0.203,36005
Brooklyn,Married Couples,2019,Percent,0.201,36047
Manhattan,Married Couples,2019,Percent,0.077,36061
Queens,Married Couples,2019,Percent,0.098,36081
Staten Island,Married Couples,2019,Percent,0.134,36085
New York City,Married Couples,2019,Percent,0.149,3651000
Battery Park/Tribeca,Other,2019,Number,0,101
Greenwich Village,Other,2019,Number,0,102
Lower East Side,Other,2019,Number,353,103
Chelsea/Clinton,Other,2019,Number,0,104
Midtown Business District,Other,2019,Number,0,105
Murray Hill/Stuyvesant,Other,2019,Number,0,106
Upper West Side,Other,2019,Number,0,107
Upper East Side,Other,2019,Number,0,108
Manhattanville,Other,2019,Number,377,109
Central Harlem,Other,2019,Number,0,110
East Harlem,Other,2019,Number,506,111
Washington Heights,Other,2019,Number,245,112
Mott Haven,Other,2019,Number,371.73461,201
Hunts Point,Other,2019,Number,212.26539,202
Morrisania,Other,2019,Number,75.3441,203
Concourse/Highbridge,Other,2019,Number,479,204
University Heights,Other,2019,Number,408,205
East Tremont,Other,2019,Number,78.6559,206
Bedford Park,Other,2019,Number,517,207
Riverdale,Other,2019,Number,193,208
Unionport/Soundview,Other,2019,Number,317,209
Throgs Neck,Other,2019,Number,0,210
Pelham Parkway,Other,2019,Number,14,211
Williamsbridge,Other,2019,Number,110,212
Williamsburg/Greenpoint,Other,2019,Number,57,301
Fort Greene/Brooklyn Hts,Other,2019,Number,249,302
Bedford Stuyvesant,Other,2019,Number,77,303
Bushwick,Other,2019,Number,98,304
East New York,Other,2019,Number,321,305
Park Slope,Other,2019,Number,114,306
Sunset Park,Other,2019,Number,415,307
Crown Heights North,Other,2019,Number,130,308
Crown Heights South,Other,2019,Number,290,309
Bay Ridge,Other,2019,Number,355,310
Bensonhurst,Other,2019,Number,242,311
Borough Park,Other,2019,Number,382,312
Coney Island,Other,2019,Number,58,313
Flatbush/Midwood,Other,2019,Number,166,314
Sheepshead Bay,Other,2019,Number,128,315
Brownsville,Other,2019,Number,183,316
East Flatbush,Other,2019,Number,99,317
Canarsie,Other,2019,Number,171,318
Astoria,Other,2019,Number,120,401
Sunnyside/Woodside,Other,2019,Number,127,402
Jackson Heights,Other,2019,Number,131,403
Elmhurst/Corona,Other,2019,Number,862,404
Ridgewood/Glendale,Other,2019,Number,329,405
Rego Park/Forest Hills,Other,2019,Number,0,406
Flushing,Other,2019,Number,469,407
Fresh Meadows/Briarwood,Other,2019,Number,334,408
Woodhaven,Other,2019,Number,244,409
Howard Beach,Other,2019,Number,151,410
Bayside,Other,2019,Number,54,411
Jamaica/St. Albans,Other,2019,Number,475,412
Queens Village,Other,2019,Number,266,413
The Rockaways,Other,2019,Number,221,414
St. George,Other,2019,Number,314,501
South Beach,Other,2019,Number,797,502
Tottenville,Other,2019,Number,16,503
Bronx,Other,2019,Number,2775,36005
Brooklyn,Other,2019,Number,3534,36047
Manhattan,Other,2019,Number,1481,36061
Queens,Other,2019,Number,3782,36081
Staten Island,Other,2019,Number,1128,36085
New York City,Other,2019,Number,12700,3651000
Battery Park/Tribeca,Other,2019,Percent,0,101
Greenwich Village,Other,2019,Percent,0,102
Lower East Side,Other,2019,Percent,0.694,103
Chelsea/Clinton,Other,2019,Percent,0,104
Midtown Business District,Other,2019,Percent,0,105
Murray Hill/Stuyvesant,Other,2019,Percent,0,106
Upper West Side,Other,2019,Percent,0,107
Upper East Side,Other,2019,Percent,0,108
Manhattanville,Other,2019,Percent,0.434,109
Central Harlem,Other,2019,Percent,0,110
East Harlem,Other,2019,Percent,0.57,111
Washington Heights,Other,2019,Percent,0.124,112
Mott Haven,Other,2019,Percent,0.361,201
Hunts Point,Other,2019,Percent,0.361,202
Morrisania,Other,2019,Percent,0.271,203
Concourse/Highbridge,Other,2019,Percent,0.434,204
University Heights,Other,2019,Percent,0.425,205
East Tremont,Other,2019,Percent,0.271,206
Bedford Park,Other,2019,Percent,0.504,207
Riverdale,Other,2019,Percent,0.398,208
Unionport/Soundview,Other,2019,Percent,0.344,209
Throgs Neck,Other,2019,Percent,0,210
Pelham Parkway,Other,2019,Percent,0.026,211
Williamsbridge,Other,2019,Percent,0.089,212
Williamsburg/Greenpoint,Other,2019,Percent,0.304,301
Fort Greene/Brooklyn Hts,Other,2019,Percent,0.47,302
Bedford Stuyvesant,Other,2019,Percent,0.17,303
Bushwick,Other,2019,Percent,0.118,304
East New York,Other,2019,Percent,0.146,305
Park Slope,Other,2019,Percent,0.221,306
Sunset Park,Other,2019,Percent,0.247,307
Crown Heights North,Other,2019,Percent,0.159,308
Crown Heights South,Other,2019,Percent,0.379,309
Bay Ridge,Other,2019,Percent,0.559,310
Bensonhurst,Other,2019,Percent,0.133,311
Borough Park,Other,2019,Percent,0.579,312
Coney Island,Other,2019,Percent,0.075,313
Flatbush/Midwood,Other,2019,Percent,0.172,314
Sheepshead Bay,Other,2019,Percent,0.297,315
Brownsville,Other,2019,Percent,0.135,316
East Flatbush,Other,2019,Percent,0.097,317
Canarsie,Other,2019,Percent,0.085,318
Astoria,Other,2019,Percent,0.345,401
Sunnyside/Woodside,Other,2019,Percent,0.151,402
Jackson Heights,Other,2019,Percent,0.087,403
Elmhurst/Corona,Other,2019,Percent,0.494,404
Ridgewood/Glendale,Other,2019,Percent,0.312,405
Rego Park/Forest Hills,Other,2019,Percent,0,406
Flushing,Other,2019,Percent,0.339,407
Fresh Meadows/Briarwood,Other,2019,Percent,0.326,408
Woodhaven,Other,2019,Percent,0.17,409
Howard Beach,Other,2019,Percent,0.232,410
Bayside,Other,2019,Percent,0.073,411
Jamaica/St. Albans,Other,2019,Percent,0.151,412
Queens Village,Other,2019,Percent,0.14,413
The Rockaways,Other,2019,Percent,0.35,414
St. George,Other,2019,Percent,0.188,501
South Beach,Other,2019,Percent,0.609,502
Tottenville,Other,2019,Percent,0.241,503
Bronx,Other,2019,Percent,0.287,36005
Brooklyn,Other,2019,Percent,0.2,36047
Manhattan,Other,2019,Percent,0.282,36061
Queens,Other,2019,Percent,0.229,36081
Staten Island,Other,2019,Percent,0.37,36085
New York City,Other,2019,Percent,0.244,3651000
Battery Park/Tribeca,Single Fathers,2019,Number,0,101
Greenwich Village,Single Fathers,2019,Number,0,102
Lower East Side,Single Fathers,2019,Number,285,103
Chelsea/Clinton,Single Fathers,2019,Number,0,104
Midtown Business District,Single Fathers,2019,Number,0,105
Murray Hill/Stuyvesant,Single Fathers,2019,Number,0,106
Upper West Side,Single Fathers,2019,Number,0,107
Upper East Side,Single Fathers,2019,Number,73,108
Manhattanville,Single Fathers,2019,Number,268,109
Central Harlem,Single Fathers,2019,Number,468,110
East Harlem,Single Fathers,2019,Number,124,111
Washington Heights,Single Fathers,2019,Number,166,112
Mott Haven,Single Fathers,2019,Number,386.37484,201
Hunts Point,Single Fathers,2019,Number,220.62516,202
Morrisania,Single Fathers,2019,Number,339.53768,203
Concourse/Highbridge,Single Fathers,2019,Number,237,204
University Heights,Single Fathers,2019,Number,205,205
East Tremont,Single Fathers,2019,Number,354.46232,206
Bedford Park,Single Fathers,2019,Number,78,207
Riverdale,Single Fathers,2019,Number,519,208
Unionport/Soundview,Single Fathers,2019,Number,873,209
Throgs Neck,Single Fathers,2019,Number,104,210
Pelham Parkway,Single Fathers,2019,Number,381,211
Williamsbridge,Single Fathers,2019,Number,210,212
Williamsburg/Greenpoint,Single Fathers,2019,Number,37,301
Fort Greene/Brooklyn Hts,Single Fathers,2019,Number,20,302
Bedford Stuyvesant,Single Fathers,2019,Number,1019,303
Bushwick,Single Fathers,2019,Number,44,304
East New York,Single Fathers,2019,Number,173,305
Park Slope,Single Fathers,2019,Number,112,306
Sunset Park,Single Fathers,2019,Number,134,307
Crown Heights North,Single Fathers,2019,Number,768,308
Crown Heights South,Single Fathers,2019,Number,346,309
Bay Ridge,Single Fathers,2019,Number,194,310
Bensonhurst,Single Fathers,2019,Number,550,311
Borough Park,Single Fathers,2019,Number,307,312
Coney Island,Single Fathers,2019,Number,285,313
Flatbush/Midwood,Single Fathers,2019,Number,239,314
Sheepshead Bay,Single Fathers,2019,Number,507,315
Brownsville,Single Fathers,2019,Number,1198,316
East Flatbush,Single Fathers,2019,Number,241,317
Canarsie,Single Fathers,2019,Number,621,318
Astoria,Single Fathers,2019,Number,0,401
Sunnyside/Woodside,Single Fathers,2019,Number,138,402
Jackson Heights,Single Fathers,2019,Number,247,403
Elmhurst/Corona,Single Fathers,2019,Number,72,404
Ridgewood/Glendale,Single Fathers,2019,Number,289,405
Rego Park/Forest Hills,Single Fathers,2019,Number,156,406
Flushing,Single Fathers,2019,Number,147,407
Fresh Meadows/Briarwood,Single Fathers,2019,Number,52,408
Woodhaven,Single Fathers,2019,Number,16,409
Howard Beach,Single Fathers,2019,Number,61,410
Bayside,Single Fathers,2019,Number,28,411
Jamaica/St. Albans,Single Fathers,2019,Number,708,412
Queens Village,Single Fathers,2019,Number,213,413
The Rockaways,Single Fathers,2019,Number,397,414
St. George,Single Fathers,2019,Number,178,501
South Beach,Single Fathers,2019,Number,127,502
Tottenville,Single Fathers,2019,Number,0,503
Bronx,Single Fathers,2019,Number,3906,36005
Brooklyn,Single Fathers,2019,Number,6796,36047
Manhattan,Single Fathers,2019,Number,1384,36061
Queens,Single Fathers,2019,Number,2524,36081
Staten Island,Single Fathers,2019,Number,305,36085
New York City,Single Fathers,2019,Number,14915,3651000
Battery Park/Tribeca,Single Fathers,2019,Percent,0,101
Greenwich Village,Single Fathers,2019,Percent,0,102
Lower East Side,Single Fathers,2019,Percent,0.418,103
Chelsea/Clinton,Single Fathers,2019,Percent,0,104
Midtown Business District,Single Fathers,2019,Percent,0,105
Murray Hill/Stuyvesant,Single Fathers,2019,Percent,0,106
Upper West Side,Single Fathers,2019,Percent,0,107
Upper East Side,Single Fathers,2019,Percent,0.056,108
Manhattanville,Single Fathers,2019,Percent,0.764,109
Central Harlem,Single Fathers,2019,Percent,0.505,110
East Harlem,Single Fathers,2019,Percent,0.13,111
Washington Heights,Single Fathers,2019,Percent,0.168,112
Mott Haven,Single Fathers,2019,Percent,0.344,201
Hunts Point,Single Fathers,2019,Percent,0.344,202
Morrisania,Single Fathers,2019,Percent,0.419,203
Concourse/Highbridge,Single Fathers,2019,Percent,0.19,204
University Heights,Single Fathers,2019,Percent,0.133,205
East Tremont,Single Fathers,2019,Percent,0.419,206
Bedford Park,Single Fathers,2019,Percent,0.054,207
Riverdale,Single Fathers,2019,Percent,0.488,208
Unionport/Soundview,Single Fathers,2019,Percent,0.623,209
Throgs Neck,Single Fathers,2019,Percent,0.129,210
Pelham Parkway,Single Fathers,2019,Percent,0.21,211
Williamsbridge,Single Fathers,2019,Percent,0.255,212
Williamsburg/Greenpoint,Single Fathers,2019,Percent,0.107,301
Fort Greene/Brooklyn Hts,Single Fathers,2019,Percent,0.026,302
Bedford Stuyvesant,Single Fathers,2019,Percent,0.706,303
Bushwick,Single Fathers,2019,Percent,0.039,304
East New York,Single Fathers,2019,Percent,0.135,305
Park Slope,Single Fathers,2019,Percent,0.269,306
Sunset Park,Single Fathers,2019,Percent,0.09,307
Crown Heights North,Single Fathers,2019,Percent,0.512,308
Crown Heights South,Single Fathers,2019,Percent,0.403,309
Bay Ridge,Single Fathers,2019,Percent,0.278,310
Bensonhurst,Single Fathers,2019,Percent,0.365,311
Borough Park,Single Fathers,2019,Percent,0.594,312
Coney Island,Single Fathers,2019,Percent,0.315,313
Flatbush/Midwood,Single Fathers,2019,Percent,0.225,314
Sheepshead Bay,Single Fathers,2019,Percent,0.35,315
Brownsville,Single Fathers,2019,Percent,0.791,316
East Flatbush,Single Fathers,2019,Percent,0.161,317
Canarsie,Single Fathers,2019,Percent,0.317,318
Astoria,Single Fathers,2019,Percent,0,401
Sunnyside/Woodside,Single Fathers,2019,Percent,0.185,402
Jackson Heights,Single Fathers,2019,Percent,0.175,403
Elmhurst/Corona,Single Fathers,2019,Percent,0.083,404
Ridgewood/Glendale,Single Fathers,2019,Percent,0.183,405
Rego Park/Forest Hills,Single Fathers,2019,Percent,0.199,406
Flushing,Single Fathers,2019,Percent,0.168,407
Fresh Meadows/Briarwood,Single Fathers,2019,Percent,0.066,408
Woodhaven,Single Fathers,2019,Percent,0.012,409
Howard Beach,Single Fathers,2019,Percent,0.115,410
Bayside,Single Fathers,2019,Percent,0.084,411
Jamaica/St. Albans,Single Fathers,2019,Percent,0.402,412
Queens Village,Single Fathers,2019,Percent,0.18,413
The Rockaways,Single Fathers,2019,Percent,0.186,414
St. George,Single Fathers,2019,Percent,0.152,501
South Beach,Single Fathers,2019,Percent,0.143,502
Tottenville,Single Fathers,2019,Percent,0,503
Bronx,Single Fathers,2019,Percent,0.288,36005
Brooklyn,Single Fathers,2019,Percent,0.334,36047
Manhattan,Single Fathers,2019,Percent,0.182,36061
Queens,Single Fathers,2019,Percent,0.172,36081
Staten Island,Single Fathers,2019,Percent,0.115,36085
New York City,Single Fathers,2019,Percent,0.253,3651000
Battery Park/Tribeca,Single Mothers,2019,Number,0,101
Greenwich Village,Single Mothers,2019,Number,0,102
Lower East Side,Single Mothers,2019,Number,3706,103
Chelsea/Clinton,Single Mothers,2019,Number,592.47347,104
Midtown Business District,Single Mothers,2019,Number,296.52653,105
Murray Hill/Stuyvesant,Single Mothers,2019,Number,0,106
Upper West Side,Single Mothers,2019,Number,1324,107
Upper East Side,Single Mothers,2019,Number,844,108
Manhattanville,Single Mothers,2019,Number,1810,109
Central Harlem,Single Mothers,2019,Number,4683,110
East Harlem,Single Mothers,2019,Number,5005,111
Washington Heights,Single Mothers,2019,Number,1843,112
Mott Haven,Single Mothers,2019,Number,6038.14128,201
Hunts Point,Single Mothers,2019,Number,3447.85872,202
Morrisania,Single Mothers,2019,Number,5479.08138,203
Concourse/Highbridge,Single Mothers,2019,Number,7757,204
University Heights,Single Mothers,2019,Number,9368,205
East Tremont,Single Mothers,2019,Number,5719.91862,206
Bedford Park,Single Mothers,2019,Number,5975,207
Riverdale,Single Mothers,2019,Number,3231,208
Unionport/Soundview,Single Mothers,2019,Number,5783,209
Throgs Neck,Single Mothers,2019,Number,1590,210
Pelham Parkway,Single Mothers,2019,Number,1664,211
Williamsbridge,Single Mothers,2019,Number,3716,212
Williamsburg/Greenpoint,Single Mothers,2019,Number,1488,301
Fort Greene/Brooklyn Hts,Single Mothers,2019,Number,2073,302
Bedford Stuyvesant,Single Mothers,2019,Number,3314,303
Bushwick,Single Mothers,2019,Number,3985,304
East New York,Single Mothers,2019,Number,5132,305
Park Slope,Single Mothers,2019,Number,638,306
Sunset Park,Single Mothers,2019,Number,1444,307
Crown Heights North,Single Mothers,2019,Number,2847,308
Crown Heights South,Single Mothers,2019,Number,1795,309
Bay Ridge,Single Mothers,2019,Number,668,310
Bensonhurst,Single Mothers,2019,Number,1639,311
Borough Park,Single Mothers,2019,Number,225,312
Coney Island,Single Mothers,2019,Number,2358,313
Flatbush/Midwood,Single Mothers,2019,Number,1381,314
Sheepshead Bay,Single Mothers,2019,Number,436,315
Brownsville,Single Mothers,2019,Number,2744,316
East Flatbush,Single Mothers,2019,Number,2277,317
Canarsie,Single Mothers,2019,Number,2209,318
Astoria,Single Mothers,2019,Number,983,401
Sunnyside/Woodside,Single Mothers,2019,Number,290,402
Jackson Heights,Single Mothers,2019,Number,2100,403
Elmhurst/Corona,Single Mothers,2019,Number,1052,404
Ridgewood/Glendale,Single Mothers,2019,Number,935,405
Rego Park/Forest Hills,Single Mothers,2019,Number,94,406
Flushing,Single Mothers,2019,Number,748,407
Fresh Meadows/Briarwood,Single Mothers,2019,Number,583,408
Woodhaven,Single Mothers,2019,Number,976,409
Howard Beach,Single Mothers,2019,Number,731,410
Bayside,Single Mothers,2019,Number,401,411
Jamaica/St. Albans,Single Mothers,2019,Number,1863,412
Queens Village,Single Mothers,2019,Number,771,413
The Rockaways,Single Mothers,2019,Number,3003,414
St. George,Single Mothers,2019,Number,3488,501
South Beach,Single Mothers,2019,Number,306,502
Tottenville,Single Mothers,2019,Number,313,503
Bronx,Single Mothers,2019,Number,59770,36005
Brooklyn,Single Mothers,2019,Number,36655,36047
Manhattan,Single Mothers,2019,Number,20103,36061
Queens,Single Mothers,2019,Number,14530,36081
Staten Island,Single Mothers,2019,Number,4107,36085
New York City,Single Mothers,2019,Number,135166,3651000
Battery Park/Tribeca,Single Mothers,2019,Percent,0,101
Greenwich Village,Single Mothers,2019,Percent,0,102
Lower East Side,Single Mothers,2019,Percent,0.826,103
Chelsea/Clinton,Single Mothers,2019,Percent,0.471,104
Midtown Business District,Single Mothers,2019,Percent,0.471,105
Murray Hill/Stuyvesant,Single Mothers,2019,Percent,0,106
Upper West Side,Single Mothers,2019,Percent,0.34,107
Upper East Side,Single Mothers,2019,Percent,0.4,108
Manhattanville,Single Mothers,2019,Percent,0.589,109
Central Harlem,Single Mothers,2019,Percent,0.495,110
East Harlem,Single Mothers,2019,Percent,0.704,111
Washington Heights,Single Mothers,2019,Percent,0.324,112
